ID,Trial,EventN,EventType,StimName,StartTime,EndTime,Duration,RT
1006,1,1,product,canned tuna.png,82.38724329997785,86.39165210002102,4.004408800043166,
1006,1,2,fixation,fixation.png,86.40621399995871,87.32395339990035,0.9177393999416381,
1006,1,3,info,canned tuna_04.png,87.3486798000522,94.35999120003544,7.011311399983242,
1006,1,4,fixation,fixation.png,94.36988839996047,95.38030469999649,1.0104163000360131,
1006,1,5,question,credibility_general,98.66229659994133,101.39129370008595,,2.7288826999720186
1006,1,6,fixation,fixation.png,101.4006839999929,102.27121539996006,0.8705313999671489,
1006,1,7,question,credibility_CON,105.79499319987372,106.31510700006038,,0.5199928001966327
1006,1,8,fixation,fixation.png,106.32421059999615,107.17974109994248,0.855530499946326,
1006,1,9,question,credibility_PEER,111.61513089993969,112.05485419998877,,0.4396162999328226
1006,1,10,fixation,fixation.png,112.06395910005085,112.75256900000386,0.6886098999530077,
1006,1,11,question,credibility_EX,115.35774039989337,115.73947390005924,,0.38165060011669993
1006,1,12,fixation,fixation.png,115.74860280007124,117.08324559987523,1.3346427998039871,
1006,1,13,question,preference,119.50549570005387,119.91150550008751,,0.4057942000217736
1006,1,14,fixation,fixation.png,119.92071229987778,121.25375039991923,1.333038100041449,
1006,2,15,product,pen.png,121.27354130009189,125.28346999990754,4.009928699815646,
1006,2,16,fixation,fixation.png,125.29559909994714,126.39909239998087,1.1034933000337332,
1006,2,17,info,pen_02.png,126.4097595999483,133.4143805000931,7.0046209001448005,
1006,2,18,fixation,fixation.png,133.4279821999371,134.609689099947,1.1817069000098854,
1006,2,19,question,credibility_CON,138.5077577000484,138.7650730998721,,0.2572156998794526
1006,2,20,fixation,fixation.png,138.77408239990473,140.19975679996423,1.4256744000595063,
1006,2,21,question,preference,141.16364829987288,144.90228869998828,,3.738526600180194
1006,2,22,fixation,fixation.png,144.91110750008374,145.9443033998832,1.0331958997994661,
1006,2,23,question,credibility_general,147.70422669989057,148.75695670000277,,1.0526304000522941
1006,2,24,fixation,fixation.png,148.76570270000957,150.01864799996838,1.2529452999588102,
1006,2,25,question,credibility_EX,152.80064389994368,153.4462538000662,,0.6454958999529481
1006,2,26,fixation,fixation.png,153.45570669998415,154.7549968000967,1.2992901001125574,
1006,2,27,question,credibility_PEER,157.41949849994853,157.68255460006185,,0.2629497000016272
1006,2,28,fixation,fixation.png,157.69145649997517,158.39085639989935,0.699399899924174,
1006,3,29,product,supplements.png,158.40697059989907,162.41803830000572,4.011067700106651,
1006,3,30,fixation,fixation.png,162.42691619996913,163.04579550004564,0.6188793000765145,
1006,3,31,info,supplements_03.png,163.06466739997268,170.07750959997065,7.012842199997976,
1006,3,32,fixation,fixation.png,170.08854279993102,170.62433880008757,0.5357960001565516,
1006,3,33,question,credibility_general,173.2839685000945,174.2114975999575,,0.9273410998284817
1006,3,34,fixation,fixation.png,174.2201817999594,175.47732710000128,1.2571453000418842,
1006,3,35,question,credibility_PEER,177.468739700038,177.75307639990933,,0.2841351998504251
1006,3,36,fixation,fixation.png,177.76197679992765,178.59798939991742,0.8360125999897718,
1006,3,37,question,credibility_CON,180.3807254000567,181.4534104000777,,1.0725828998256475
1006,3,38,fixation,fixation.png,181.46201459993608,182.67497100005858,1.2129564001224935,
1006,3,39,question,credibility_EX,186.6432499999646,186.93015290005133,,0.2867022000718862
1006,3,40,fixation,fixation.png,186.93913089996204,187.69472789997235,0.7555970000103116,
1006,3,41,question,preference,189.38212389987893,193.0023020999506,,3.6198915001004934
1006,3,42,fixation,fixation.png,193.01112949987873,194.2999541000463,1.2888246001675725,
1006,4,43,product,cake.png,194.3176374998875,198.3309331999626,4.013295700075105,
1006,4,44,fixation,fixation.png,198.34890759992413,199.55023579997942,1.2013282000552863,
1006,4,45,info,cake_01.png,199.57473680004478,206.5866058000829,7.011869000038132,
1006,4,46,fixation,fixation.png,206.60508470004424,207.97158010001294,1.3664953999686986,
1006,4,47,question,preference,210.4292959999293,210.7084258000832,,0.27901990013197064
1006,4,48,fixation,fixation.png,210.71808140003122,211.264529600041,0.5464482000097632,
1006,4,49,question,credibility_EX,213.53274410008453,214.16547810006887,,0.6326295000035316
1006,4,50,fixation,fixation.png,214.1751351999119,215.57230790005997,1.3971727001480758,
1006,4,51,question,credibility_CON,217.5547513999045,217.787032000022,,0.23214750015176833
1006,4,52,fixation,fixation.png,217.79672349989414,219.17655669990927,1.3798332000151277,
1006,4,53,question,credibility_general,219.96581379999407,228.5460647,,8.58013779995963
1006,4,54,fixation,fixation.png,228.55625259992667,229.4432019998785,0.8869493999518454,
1006,4,55,question,credibility_PEER,231.21108120004646,231.5220355000347,,0.310811199946329
1006,4,56,fixation,fixation.png,231.5320860000793,232.46968100010417,0.9375950000248849,
1006,5,57,product,decorative tape.png,232.49131539999507,236.50283439992927,4.0115189999341965,
1006,5,58,fixation,fixation.png,236.51653639995493,237.99661129992455,1.4800748999696225,
1006,5,59,info,decorative tape_03.png,238.01325599988922,245.02625770005397,7.01300170016475,
1006,5,60,fixation,fixation.png,245.03852450009435,246.39266159990802,1.35413709981367,
1006,5,61,question,credibility_PEER,249.57769709988497,251.02687190007418,,1.4490169000346214
1006,5,62,fixation,fixation.png,251.03640390001237,252.2748370000627,1.2384331000503153,
1006,5,63,question,credibility_general,256.59430720005184,256.83300539990887,,0.23852519993670285
1006,5,64,fixation,fixation.png,256.84291539993137,257.48758700001054,0.6446716000791639,
