ID,Trial,EventN,EventType,StimName,StartTime,EndTime,Duration,RT
1002,1,1,product,cake.png,55.84555630013347,59.84807340009138,4.002517099957913,
1002,1,2,fixation,fixation.png,59.86527459998615,61.21499150013551,1.3497169001493603,
1002,1,3,info,cake_02.png,61.24268130003475,68.25246280012652,7.009781500091776,
1002,1,4,fixation,fixation.png,68.27026319992729,69.62588590011,1.355622700182721,
1002,1,5,question,credibility_general,72.1524760001339,72.78417990007438,,0.6314815999940038
1002,1,6,fixation,fixation.png,72.79457719996572,73.97540090000257,1.1808237000368536,
1002,1,7,question,preference,76.63056270009838,77.05551810003817,,0.4248656998388469
1002,1,8,fixation,fixation.png,77.06528370012529,78.28264270001091,1.2173589998856187,
1002,1,9,question,credibility_PEER,79.88289869995788,80.13956409995444,,0.25649169995449483
1002,1,10,fixation,fixation.png,80.14924139995128,80.82244389993139,0.673202499980107,
1002,1,11,question,credibility_EX,82.22791830007918,82.44324710010551,,0.2152426999527961
1002,1,12,fixation,fixation.png,82.4528870000504,83.62624270003289,1.1733556999824941,
1002,1,13,question,credibility_CON,84.83885670010932,85.11803940008394,,0.27909159986302257
1002,1,14,fixation,fixation.png,85.12774490006268,86.39443470002152,1.26668979995884,
1002,2,15,product,wax seal kit.png,86.47544989991002,90.48340020002797,4.007950300117955,
1002,2,16,fixation,fixation.png,90.50011310004629,91.73569949995726,1.2355863999109715,
1002,2,17,info,wax seal kit_04.png,91.76056260010228,98.77359029999934,7.013027699897066,
1002,2,18,fixation,fixation.png,98.79137070011348,100.15530300000682,1.3639322998933494,
1002,2,19,question,credibility_CON,104.07054220000282,104.42321819998324,,0.35257559991441667
1002,2,20,fixation,fixation.png,104.43289789999835,105.72323110001162,1.290333200013265,
1002,2,21,question,credibility_PEER,106.67080039996654,106.93059080000967,,0.25969270011410117
1002,2,22,fixation,fixation.png,106.9406852000393,108.19511729991063,1.2544320998713374,
1002,2,23,question,preference,109.75202889996581,110.03585730004124,,0.2837412999942899
1002,2,24,fixation,fixation.png,110.04521030001342,111.01006749994121,0.964857199927792,
1002,2,25,question,credibility_EX,111.74299330008216,112.22348950011656,,0.4803587000351399
1002,2,26,fixation,fixation.png,112.23358769994229,113.10330640012398,0.8697187001816928,
1002,2,27,question,credibility_general,117.1185669999104,117.37993080005981,,0.2612140001729131
1002,2,28,fixation,fixation.png,117.38962460006587,118.39049659995362,1.0008719998877496,
1002,3,29,product,stamp.png,118.42283060005866,122.42738700006157,4.004556400002912,
1002,3,30,fixation,fixation.png,122.4445177000016,123.4021501999814,0.9576324999798089,
1002,3,31,info,stamp_01.png,123.42750340001658,130.43466809997335,7.007164699956775,
1002,3,32,fixation,fixation.png,130.45212000003085,130.96238979999907,0.5102697999682277,
1002,3,33,question,credibility_EX,133.77510139998049,134.08030729996972,,0.3051034000236541
1002,3,34,fixation,fixation.png,134.08974379999563,134.61921770009212,0.529473900096491,
1002,3,35,question,credibility_PEER,138.53236449998803,138.8046959999483,,0.2722283999901265
1002,3,36,fixation,fixation.png,138.81475639995188,139.60103889997117,0.786282500019297,
1002,3,37,question,credibility_general,140.70931620011106,141.23684630007483,,0.527425599982962
1002,3,38,fixation,fixation.png,141.2465292001143,142.26731740008108,1.0207881999667734,
1002,3,39,question,credibility_CON,143.26679589995183,143.6056473001372,,0.33875600015744567
1002,3,40,fixation,fixation.png,143.61510740011,144.39684460009448,0.7817371999844909,
1002,3,41,question,preference,147.31540170009248,147.62132699997164,,0.30576190003193915
1002,3,42,fixation,fixation.png,147.63126159994863,149.09941389993764,1.4681522999890149,
1002,4,43,product,fountain pen.png,149.1329429000616,153.14367859996855,4.010735699906945,
1002,4,44,fixation,fixation.png,153.16141499998048,154.53106370009482,1.3696487001143396,
1002,4,45,info,fountain pen_03.png,154.55565030011348,161.56347399996594,7.007823699852452,
1002,4,46,fixation,fixation.png,161.58006700011902,162.19329950003885,0.6132324999198318,
1002,4,47,question,credibility_EX,163.7754989999812,164.25369839998893,,0.4776870000641793
1002,4,48,fixation,fixation.png,164.26394030009396,164.8180241000373,0.5540837999433279,
1002,4,49,question,credibility_general,167.00097759999335,167.3357128999196,,0.3346337000839412
1002,4,50,fixation,fixation.png,167.34585550008342,167.8709273999557,0.5250718998722732,
1002,4,51,question,preference,169.79262239998206,170.1648921999149,,0.37216090015135705
1002,4,52,fixation,fixation.png,170.17491569998674,171.3412925999146,1.1663768999278545,
1002,4,53,question,credibility_CON,173.1800196999684,173.45298580010422,,0.27285870001651347
1002,4,54,fixation,fixation.png,173.4629611999262,174.96590960002504,1.5029484000988305,
1002,4,55,question,credibility_PEER,175.986945200013,176.55894130002707,,0.5718978000804782
1002,4,56,fixation,fixation.png,176.56848110002466,177.52831869991496,0.9598375998903066,
1002,5,57,product,memo pads.png,177.56386370002292,181.56980550009757,4.005941800074652,
1002,5,58,fixation,fixation.png,181.5878811001312,182.90303530008532,1.3151541999541223,
1002,5,59,info,memo pads_03.png,182.9277256000787,189.94112390000373,7.013398299925029,
1002,5,60,fixation,fixation.png,189.95959149999544,191.07357720006257,1.1139857000671327,
1002,5,61,question,credibility_PEER,194.18282240000553,195.6028174001258,,1.4194483999162912
1002,5,62,fixation,fixation.png,195.61276750010438,196.480901400093,0.8681338999886066,
1002,5,63,question,credibility_general,197.69065640005283,198.04159220005386,,0.3508045000489801
1002,5,64,fixation,fixation.png,198.05133310006931,199.36892409995198,1.3175909998826683,
1002,5,65,question,preference,201.39649039995857,201.70660690008663,,0.30966210016049445
1002,5,66,fixation,fixation.png,201.71621740004048,202.308530600043,0.5923132000025362,
1002,5,67,question,credibility_CON,203.54769250005484,203.75194009998813,,0.20412179990671575
1002,5,68,fixation,fixation.png,203.7620508999098,204.76092100003734,0.9988701001275331,
1002,5,69,question,credibility_EX,205.8664782999549,206.2831725999713,,0.41657550004310906
1002,5,70,fixation,fixation.png,206.29270599992014,207.41864469996653,1.1259387000463903,
1002,6,71,product,laptop stand.png,207.45351550006308,211.46103070001118,4.007515199948102,
