TrialNumber,ProductFilePath,product_ENG,product_KOR,genre,classification,price_range,InfoType,Q_Order,Credibility_EX,Credibility_CON,Credibility_PEER,Credibility_general,Preference,Credibility_EX_RT,Credibility_CON_RT,Credibility_PEER_RT,Credibility_general_RT,Preference_RT
1,cake.png,cake,케이크,FOOD,HE,HIGH,consensus,credibility_general-preference-credibility_PEER-credibility_EX-credibility_CON,4,7,1,5,6,0.2152426999527961,0.27909159986302257,0.25649169995449483,0.6314815999940038,0.4248656998388469
2,wax seal kit.png,wax seal kit,실링 왁스 키트,STA,HE,HIGH,gpt,credibility_CON-credibility_PEER-preference-credibility_EX-credibility_general,2,5,1,4,2,0.4803587000351399,0.35257559991441667,0.25969270011410117,0.2612140001729131,0.2837412999942899
3,stamp.png,stamp,도장,STA,HE,LOW,expert,credibility_EX-credibility_PEER-credibility_general-credibility_CON-preference,7,2,1,6,2,0.3051034000236541,0.33875600015744567,0.2722283999901265,0.527425599982962,0.30576190003193915
4,fountain pen.png,fountain pen,만년필,STA,HE,HIGH,peer,credibility_EX-credibility_general-preference-credibility_CON-credibility_PEER,2,1,6,4,1,0.4776870000641793,0.27285870001651347,0.5718978000804782,0.3346337000839412,0.37216090015135705
5,memo pads.png,memo pads,메모지,STA,UT,LOW,peer,credibility_PEER-credibility_general-preference-credibility_CON-credibility_EX,1,1,5,4,6,0.41657550004310906,0.20412179990671575,1.4194483999162912,0.3508045000489801,0.30966210016049445
6,laptop stand.png,laptop stand,노트북 거치대,STA,UT,HIGH,gpt,credibility_general-preference-credibility_EX-credibility_PEER-credibility_CON,2,4,1,3,7,0.3170137000270188,0.276754500111565,0.26926500000990927,0.3844614999834448,0.25600549997761846
7,organic olive oil.png,organic olive oil,엑스트라 버진 올리브 오일,FOOD,UT,HIGH,expert,preference-credibility_PEER-credibility_CON-credibility_general-credibility_EX,7,3,1,5,4,0.2620955999009311,0.7627737999428064,0.2869297000579536,0.27146199997514486,0.6257080999203026
8,cookies.png,cookies,쿠키,FOOD,HE,LOW,consensus,credibility_general-credibility_EX-credibility_CON-credibility_PEER-preference,3,7,1,6,5,0.4204179998487234,0.32599470019340515,0.27843830012716353,0.2680151001550257,0.41897820006124675
9,oil pastels.png,oil pastels,오일 파스텔 세트,STA,HE,HIGH,expert,credibility_CON-credibility_EX-credibility_general-credibility_PEER-preference,7,1,1,6,4,0.2694136998616159,0.23205099999904633,0.2814963001292199,0.434566100127995,0.45871010003611445
10,scientific calculator.png,scientific calculator,공학 계산기,STA,UT,HIGH,peer,preference-credibility_general-credibility_EX-credibility_PEER-credibility_CON,1,1,5,5,4,0.31585719995200634,0.2591715999878943,0.5691384000238031,0.8784354999661446,0.29462850000709295
