TrialNumber,ProductFilePath,product_ENG,product_KOR,genre,classification,price_range,InfoType,Q_Order,Credibility_EX,Credibility_CON,Credibility_PEER,Credibility_general,Preference,Credibility_EX_RT,Credibility_CON_RT,Credibility_PEER_RT,Credibility_general_RT,Preference_RT
11,frozen pizza.png,frozen pizza,냉동 피자,FOOD,UT,LOW,gpt,credibility_CON-credibility_PEER-preference-credibility_general-credibility_EX,3,4,1,5,5,0.7068735000211746,2.09759010002017,0.37671310012228787,0.6556930001825094,0.4841038000304252
12,bread.png,bread,식빵,FOOD,UT,LOW,consensus,credibility_EX-credibility_PEER-preference-credibility_general-credibility_CON,4,7,2,6,5,0.44674729998223484,0.2476208999287337,0.7189414999447763,0.4218564999755472,0.4852714999578893
13,chocolate.png,chocolate,초콜릿,FOOD,HE,LOW,gpt,credibility_CON-credibility_EX-credibility_PEER-preference-credibility_general,1,5,1,3,5,0.2791898001451045,0.5882938001304865,0.5043866001069546,0.29443270014598966,0.2890189001336694
14,caviar.png,caviar,캐비어,FOOD,HE,HIGH,peer,preference-credibility_general-credibility_CON-credibility_PEER-credibility_EX,1,1,4,2,2,0.34099650010466576,0.27977919997647405,0.5735561000183225,0.7813051000703126,0.2269969000481069
15,supplements.png,supplements,멀티비타민,FOOD,UT,HIGH,consensus,credibility_PEER-credibility_general-preference-credibility_EX-credibility_CON,4,6,1,3,1,1.2974380000960082,0.3705681001301855,0.4239282999187708,2.1471062002237886,0.3078350001014769
16,chips.png,chips,감자칩,FOOD,HE,LOW,expert,credibility_EX-preference-credibility_general-credibility_CON-credibility_PEER,7,3,1,5,5,0.4476356999948621,0.5813150000758469,0.31180879985913634,0.5936575001105666,0.4085880999919027
17,manuka honey.png,manuka honey,마누카 꿀,FOOD,HE,HIGH,expert,credibility_CON-credibility_EX-preference-credibility_general-credibility_PEER,7,3,1,4,2,0.24284359999001026,1.470681499922648,0.7989268000237644,0.9537649999838322,0.3372947999741882
18,mango set.png,mango set,애플망고 세트,FOOD,UT,HIGH,peer,credibility_EX-preference-credibility_CON-credibility_PEER-credibility_general,1,1,5,5,5,0.4345157998614013,0.26419819984585047,0.8287118999287486,0.27152599999681115,1.0981870999094099
19,canned tuna.png,canned tuna,참치캔,FOOD,UT,LOW,expert,credibility_EX-credibility_general-credibility_PEER-credibility_CON-preference,5,3,1,5,1,1.4958124000113457,0.4587051998823881,0.982112199999392,0.30623189988546073,0.2306337000336498
20,stickers.png,stickers,스티커,STA,HE,LOW,gpt,preference-credibility_CON-credibility_PEER-credibility_general-credibility_EX,4,5,1,4,2,1.452240000013262,0.29274559998884797,0.300576200010255,1.4685971001163125,0.4540979000739753
21,cup ramen.png,cup ramen,컵라면,FOOD,UT,LOW,peer,preference-credibility_EX-credibility_PEER-credibility_general-credibility_CON,1,1,6,5,6,0.2707991001661867,0.2546159999910742,0.21550539997406304,0.28709329990670085,0.45069639990106225
22,leather notebook.png,leather notebook,가죽 노트,STA,UT,HIGH,consensus,credibility_general-credibility_PEER-credibility_CON-preference-credibility_EX,5,7,1,5,6,0.3030173999723047,0.254893200006336,0.27735009999014437,0.7968968998175114,0.26091130007989705
23,instant coffee.png,instant coffee,커피 믹스,FOOD,HE,LOW,peer,credibility_PEER-preference-credibility_CON-credibility_general-credibility_EX,2,1,7,5,5,0.32925570011138916,0.29164279997348785,0.46554050012491643,1.131269000004977,0.266778799938038
24,pen.png,pen,볼펜,STA,UT,LOW,consensus,credibility_general-credibility_PEER-preference-credibility_CON-credibility_EX,2,7,1,6,6,0.38346069981344044,0.47274180012755096,0.547610400011763,1.299652999965474,0.35367670003324747
25,mouse pad.png,mouse pad,마우스 패드,STA,UT,LOW,gpt,credibility_EX-credibility_CON-preference-credibility_general-credibility_PEER,5,4,1,3,6,0.5885916999541223,0.709737699944526,0.3086425999645144,0.6285555001813918,0.30737409996800125
26,steak 500g.png,steak 500g,소고기 채끝 500g,FOOD,UT,HIGH,gpt,credibility_PEER-preference-credibility_EX-credibility_CON-credibility_general,5,3,1,5,4,0.9626625999808311,0.29782500001601875,0.41119139990769327,0.24035830004140735,0.5245573001448065
27,tea gift set.png,tea gift set,말차 세트,FOOD,HE,HIGH,expert,credibility_PEER-credibility_EX-preference-credibility_general-credibility_CON,7,2,1,5,3,0.285486500011757,0.42617069999687374,0.28950870013795793,0.7627018999774009,0.5043294001370668
28,decorative magnet.png,decorative magnet,장식 자석,STA,HE,LOW,consensus,credibility_EX-credibility_PEER-credibility_CON-preference-credibility_general,3,6,1,5,1,0.9315960998646915,0.5672400000039488,0.28134580003097653,0.6177964999806136,0.2271906000096351
29,egronomics chair seat.png,egronomics chair seat,자세교정 방석,STA,UT,HIGH,expert,credibility_PEER-credibility_general-credibility_EX-credibility_CON-preference,7,3,1,7,6,0.25244100019335747,0.9623630000278354,0.45034750015474856,0.26492989994585514,0.34652339993044734
30,decorative tape.png,decorative tape,디자인 테이프,STA,HE,LOW,peer,credibility_EX-credibility_CON-credibility_PEER-preference-credibility_general,1,1,6,5,1,0.4552321000955999,1.0524925999343395,0.6250803999137133,0.2716232999227941,0.2631006999872625
31,paper weight.png,paper weight,문진,STA,HE,HIGH,consensus,credibility_PEER-preference-credibility_general-credibility_EX-credibility_CON,3,7,1,5,1,0.4791755999904126,0.2728075000923127,0.43160189990885556,0.4761723999399692,0.29544849996455014
32,cable organizer.png,cable organizer,케이블 정리 악세서리,STA,UT,LOW,expert,preference-credibility_PEER-credibility_EX-credibility_CON-credibility_general,7,3,1,5,3,0.2695132000371814,0.43455239990726113,0.3033549999818206,0.7854164000600576,0.5204696001019329
