TrialNumber,ProductFilePath,product_ENG,product_KOR,genre,classification,price_range,InfoType,Q_Order,Credibility_EX,Credibility_CON,Credibility_PEER,Credibility_general,Preference,Credibility_EX_RT,Credibility_CON_RT,Credibility_PEER_RT,Credibility_general_RT,Preference_RT
1,fountain pen.png,fountain pen,만년필,STA,HE,HIGH,gpt,credibility_PEER-credibility_CON-credibility_EX-preference-credibility_general,5,4,2,5,1,1.1430855998769403,0.44801030005328357,2.2938417999539524,0.7360541000962257,0.8993350998498499
2,mouse pad.png,mouse pad,마우스 패드,STA,UT,LOW,expert,credibility_CON-credibility_PEER-credibility_general-credibility_EX-preference,4,5,4,5,4,1.1311099000740796,1.1036904000211507,1.308349700178951,1.476051599951461,0.50865270011127
3,cake.png,cake,케이크,FOOD,HE,HIGH,peer,credibility_general-credibility_EX-credibility_CON-preference-credibility_PEER,2,4,4,6,4,3.0483423999976367,0.8972686000633985,1.812121900031343,1.0354215998668224,2.1846602999139577
4,oil pastels.png,oil pastels,오일 파스텔 세트,STA,HE,HIGH,consensus,credibility_PEER-credibility_EX-preference-credibility_CON-credibility_general,4,5,2,5,1,1.2817667999770492,0.8124636001884937,1.870568900136277,1.0042821001261473,1.1095081998500973
5,decorative magnet.png,decorative magnet,장식 자석,STA,HE,LOW,consensus,credibility_CON-credibility_general-preference-credibility_PEER-credibility_EX,2,6,2,6,6,0.5364370001479983,6.455489000072703,0.6019714998546988,0.5203420999459922,0.637551800115034
6,stamp.png,stamp,도장,STA,HE,LOW,gpt,credibility_EX-credibility_PEER-preference-credibility_CON-credibility_general,6,3,1,6,1,0.8459574000444263,1.2020638000685722,0.26273189997300506,0.32827610010281205,0.23852559993974864
7,chocolate.png,chocolate,초콜릿,FOOD,HE,LOW,peer,preference-credibility_CON-credibility_PEER-credibility_EX-credibility_general,1,5,2,6,5,1.491676000179723,3.02693900000304,4.170864199986681,0.7318321000784636,0.38613760005682707
8,paper weight.png,paper weight,문진,STA,HE,HIGH,expert,preference-credibility_EX-credibility_CON-credibility_general-credibility_PEER,6,4,1,6,1,1.984613300068304,0.3861529000569135,0.2986065000295639,0.5172278000973165,0.19210520014166832
9,scientific calculator.png,scientific calculator,공학 계산기,STA,UT,HIGH,expert,preference-credibility_EX-credibility_PEER-credibility_CON-credibility_general,6,3,1,5,2,1.8384968999307603,0.630030200118199,0.19375049998052418,0.36022419994696975,0.4146694000810385
10,bread.png,bread,식빵,FOOD,UT,LOW,consensus,credibility_CON-preference-credibility_general-credibility_EX-credibility_PEER,2,6,2,6,6,0.43157560005784035,1.3608188000507653,0.2925295999739319,0.30646360013633966,0.36300969985313714
11,cookies.png,cookies,쿠키,FOOD,HE,LOW,gpt,credibility_EX-credibility_general-credibility_CON-credibility_PEER-preference,5,3,1,3,5,1.6726353000849485,1.4995319999288768,0.2679570000618696,0.9404919999651611,1.0109953000210226
12,pen.png,pen,볼펜,STA,UT,LOW,peer,credibility_general-preference-credibility_PEER-credibility_CON-credibility_EX,2,4,2,6,4,0.7767600000370294,0.366024199873209,0.395581099903211,0.6294025001116097,1.152546300087124
13,steak 500g.png,steak 500g,소고기 채끝 500g,FOOD,UT,HIGH,consensus,credibility_general-credibility_EX-preference-credibility_CON-credibility_PEER,1,4,1,5,7,2.3775951999705285,4.034117100061849,0.3155267001129687,0.8686456000432372,0.4405294999014586
14,decorative tape.png,decorative tape,디자인 테이프,STA,HE,LOW,peer,credibility_PEER-preference-credibility_general-credibility_CON-credibility_EX,1,4,1,4,1,0.18002720014192164,0.27862680004909635,1.043729100143537,0.6877242000773549,0.5039553998503834
15,mango set.png,mango set,애플망고 세트,FOOD,UT,HIGH,expert,credibility_general-preference-credibility_CON-credibility_PEER-credibility_EX,5,3,1,5,2,0.2858154000714421,0.8219361000228673,0.21763029997237027,1.6203040999826044,1.5934782999102026
16,leather notebook.png,leather notebook,가죽 노트,STA,UT,HIGH,gpt,credibility_PEER-preference-credibility_CON-credibility_EX-credibility_general,5,4,1,5,2,0.39312689984217286,0.28620680002495646,2.054299100069329,0.2770062000490725,1.0408552000299096
17,cup ramen.png,cup ramen,컵라면,FOOD,UT,LOW,expert,credibility_EX-credibility_PEER-credibility_CON-preference-credibility_general,5,3,1,3,6,1.5170642999000847,0.46806830004788935,0.25326839997433126,0.2956240000203252,0.31426570005714893
18,laptop stand.png,laptop stand,노트북 거치대,STA,UT,HIGH,peer,credibility_PEER-preference-credibility_general-credibility_EX-credibility_CON,2,4,2,6,5,0.4400053999852389,0.7104760000947863,0.6489357999525964,0.48944150004535913,1.1869332999922335
19,cable organizer.png,cable organizer,케이블 정리 악세서리,STA,UT,LOW,consensus,credibility_CON-preference-credibility_general-credibility_PEER-credibility_EX,2,6,1,6,6,0.3878132998943329,0.7634944999590516,0.878770099952817,0.28333100001327693,0.27557580010034144
20,tea gift set.png,tea gift set,말차 세트,FOOD,HE,HIGH,gpt,preference-credibility_EX-credibility_CON-credibility_PEER-credibility_general,6,3,1,3,2,0.30568799981847405,0.9026007000356913,0.22801399999298155,1.127163000172004,0.383869799785316
21,supplements.png,supplements,멀티비타민,FOOD,UT,HIGH,gpt,preference-credibility_PEER-credibility_general-credibility_CON-credibility_EX,3,4,1,5,5,2.257798600010574,0.7257862999103963,0.2416668999940157,0.7264974999707192,0.984439600026235
22,canned tuna.png,canned tuna,참치캔,FOOD,UT,LOW,peer,credibility_general-preference-credibility_EX-credibility_CON-credibility_PEER,1,3,2,6,6,0.3465676000341773,1.2740607999730855,0.22457369999028742,0.5382352999877185,0.3182065000291914
23,chips.png,chips,감자칩,FOOD,HE,LOW,consensus,credibility_general-credibility_PEER-preference-credibility_CON-credibility_EX,3,3,2,5,5,0.7843494999688119,1.6068329999689013,0.38267410011030734,1.5451820997986943,0.5378656999673694
24,egronomics chair seat.png,egronomics chair seat,자세교정 방석,STA,UT,HIGH,consensus,credibility_PEER-credibility_CON-credibility_general-credibility_EX-preference,4,3,2,4,4,7.539946699980646,0.5820609999354929,0.4634056000504643,0.2767543999943882,0.3386694001965225
25,memo pads.png,memo pads,메모지,STA,UT,LOW,gpt,credibility_PEER-credibility_CON-preference-credibility_EX-credibility_general,5,3,1,5,2,1.2508088999893516,1.0865048998966813,3.780355599941686,0.9827468998264521,0.4194984999485314
26,caviar.png,caviar,캐비어,FOOD,HE,HIGH,expert,credibility_PEER-credibility_CON-credibility_EX-credibility_general-preference,6,3,1,5,1,0.9429091999772936,0.37021459988318384,0.33991340012289584,0.3555312000680715,0.5894957999698818
27,wax seal kit.png,wax seal kit,실링 왁스 키트,STA,HE,HIGH,peer,credibility_CON-credibility_EX-credibility_general-preference-credibility_PEER,1,2,3,6,1,0.23369619995355606,0.49723470001481473,0.3869912999216467,0.2501868000254035,0.1762244999408722
28,stickers.png,stickers,스티커,STA,HE,LOW,expert,credibility_CON-credibility_EX-credibility_general-credibility_PEER-preference,6,2,1,5,3,6.756559000117704,0.42752799997106194,0.8253160999156535,1.193613100098446,1.3964507000055164
29,manuka honey.png,manuka honey,마누카 꿀,FOOD,HE,HIGH,consensus,credibility_CON-preference-credibility_EX-credibility_general-credibility_PEER,1,6,1,5,4,0.7533367001451552,0.35867300000973046,0.2037854001391679,0.794264700030908,0.32784459996037185
30,instant coffee.png,instant coffee,커피 믹스,FOOD,HE,LOW,expert,credibility_EX-preference-credibility_general-credibility_CON-credibility_PEER,2,3,1,4,1,0.6036398999858648,0.6496731000952423,0.18964349990710616,0.2631759000942111,1.053317700047046
31,organic olive oil.png,organic olive oil,엑스트라 버진 올리브 오일,FOOD,UT,HIGH,peer,preference-credibility_general-credibility_EX-credibility_CON-credibility_PEER,2,3,2,6,6,1.942720300052315,5.4258336999919266,0.47249730001203716,0.21095369989052415,0.5527079000603408
32,frozen pizza.png,frozen pizza,냉동 피자,FOOD,UT,LOW,gpt,credibility_PEER-credibility_EX-credibility_general-preference-credibility_CON,2,3,2,4,5,0.715075199957937,0.31684510014019907,1.1270609002094716,2.362138600088656,0.5130934999324381
